流水号,门店编码,门店名称,交易时间,设备编号,设备名称,清洁服务类型,操作员,服务结果,备注
POS20240115001,S1001,北京第1店,2024-01-15 09:00:00,E1001,意式咖啡机,日常清洁,员工A,完成,
POS20240115002,S1001,北京第1店,2024-01-15 10:30:00,E1002,磨豆机,深度清洁,员工B,完成,刀盘校准
POS20240115003,S1002,北京第2店,2024-01-15 11:15:00,E1003,意式咖啡机,日常清洁,员工C,完成,
POS20240115004,S1002,北京第2店,2024-01-15 14:00:00,E1004,冰沙机,日常清洁,员工D,失败,刀片磨损需要更换
POS20240115005,S1003,上海第1店,2024-01-15 15:30:00,E1005,美式咖啡机,日常清洁,员工E,完成,
POS20240115006,S1003,上海第1店,2024-01-16 08:00:00,E1006,冷藏柜,周度清洁,员工F,完成,
POS20240115007,S1004,上海第2店,2024-01-16 09:30:00,E1007,制冰机,日常清洁,员工G,失败,水垢较厚
POS20240115008,S1004,上海第2店,2024-01-16 10:45:00,E1008,开水机,日常清洁,员工H,完成,
POS20240115009,S1005,广州第1店,2024-01-16 11:30:00,E1009,意式咖啡机,深度清洁,员工I,完成,
POS20240115010,S1005,广州第1店,2024-01-16 14:00:00,E1010,磨豆机,日常清洁,员工J,完成,
