库存编号,门店编码,门店名称,设备编号,设备名称,设备类型,品牌,型号,安装日期,上次清洁日期,下次清洁日期,清洁周期(天),设备状态,盘点时间,操作员
INV001,S1001,北京第1店,E1001,意式咖啡机,咖啡机,La Marzocco,Linea PB,2023-06-15,2024-01-14,2024-01-21,7,正常,2024-01-15 18:00:00,盘点员A
INV002,S1001,北京第1店,E1002,磨豆机,磨豆机,Mahlkonig,EK43,2023-06-15,2024-01-15,2024-01-22,7,正常,2024-01-15 18:00:00,盘点员A
INV003,S1002,北京第2店,E1003,意式咖啡机,咖啡机,La Marzocco,Linea PB,2023-07-01,2024-01-10,2024-01-17,7,正常,2024-01-15 18:00:00,盘点员B
INV004,S1002,北京第2店,E1004,冰沙机,冰沙机,Vitamix,5200,2023-07-01,2024-01-08,2024-01-15,7,维修中,2024-01-15 18:00:00,盘点员B
INV005,S1003,上海第1店,E1005,美式咖啡机,咖啡机,BUNN,MHW,2023-05-20,2024-01-13,2024-01-20,7,正常,2024-01-15 18:00:00,盘点员C
INV006,S1003,上海第1店,E1006,冷藏柜,冷藏柜,Hoshizaki,RCT-70,2023-05-20,2024-01-01,2024-01-31,30,正常,2024-01-15 18:00:00,盘点员C
INV007,S1004,上海第2店,E1007,制冰机,制冰机,Scotsman,BL45,2023-08-10,2024-01-05,2024-01-12,7,停用,2024-01-15 18:00:00,盘点员D
INV008,S1004,上海第2店,E1008,开水机,开水机,吉之美,GM-K1,2023-08-10,2024-01-15,2024-01-22,7,正常,2024-01-15 18:00:00,盘点员D
INV009,S1005,广州第1店,E1009,意式咖啡机,咖啡机,La Marzocco,Linea PB,2023-09-01,2024-01-12,2024-01-19,7,正常,2024-01-15 18:00:00,盘点员E
INV010,S1005,广州第1店,E1010,磨豆机,磨豆机,Fiorenzato,F64E,2023-09-01,2024-01-15,2024-01-22,7,正常,2024-01-15 18:00:00,盘点员E
